input,output
什麼是彈力貸？,屬於您的專屬額度，不綁約、隨借隨還，有動用的金額才會計算利息。而且，在貸款期限內，每月只需繳利息，本金隨時可還，還完額度立即回復。
彈力貸利息怎麼計算？,動撥金額才計息。採用以日計息，不動用不計息，當天動用當天還款也不計算利息。
彈力貸期限為多久？,一年，優質客戶到期自動續約，免收費。
如何得知我的彈力貸申請進度呢？,完成送出申請資料後，本行會以簡訊通知您申請結果及進度。
彈力貸系統服務時間？,申請：營業日 09:00AM ~ 10:00PM動用/還本：營業日 09:00AM ~ 10:00PM
如何申請彈力貸？,彈力貸本息攤與彈力貸月繳息採邀請制，利用手機下載 CUBE App，可直接查詢專屬方案，申請開通額度、動用及還本。
只根據利率挑選銀行，您真的挑到最便宜的信貸嗎？,利率的影響比想像中還小，選擇貸款規劃能力強的銀行，對您更有利。 一般人挑選銀行時，往往僅比較利率，並選擇最低利率的銀行，但事實上，各間銀行的利率差距並不大，有時僅是0.1%~0.2%的差距，這樣的差距對每月付款金額的影響並沒有您想像中的大。利率、額度、貸款期數、各項費用...等等，皆會影響您的貸款負擔。一間值得信賴的銀行，不會僅以低利率與您溝通，而是依您的需求與現狀，幫您規劃並提供最合適的貸款商品。遠見雜誌「國泰世華，理財規劃客戶信賴度全國No.1」 根據遠見雜誌2014銀行形象大調查，國泰世華全國理財規劃客戶數 No.1。我們致力於為客戶規劃最佳資金運用，為您設計最適合的信貸商品。
甚麼樣的資金用途都可以申辦信貸嗎？,是的，資金用途沒有限制，並且也可以協助客戶資金整合、或償還其他貸款。
透過代辦公司會有比較高的額度嗎？,不會，銀行會依據借款人信用狀況評估合適的貸款額度及利率訂價，而代辦公司不僅無法提高貸款額度，而且還可能收取較高的利率訂價及手續費用。如需進一步瞭解，您可撥打本行服務專線(02)2383-1000，或逕洽國泰世華銀行任一分行諮詢，將有專人竭誠為您服務。
我可以指定信貸撥款日期嗎？,可以，借款人可逕向銀行承辦人員提出信貸指定撥款日期。
信用卡待繳付金額可以轉成信貸嗎？,申辦信用貸款，其核貸金額可以依您自身需求靈活運用資金，除繳交信用卡待繳付金額外，多餘部份亦可使用於多元理財計劃。如需瞭解更多資訊，您可撥打本行服務專線(02)2383-1000，或逕洽國泰世華銀行任一分行諮詢，將有專人竭誠為您服務。
辦理信貸需要準備甚麼文件呢？,需檢附下列文件：身分證明文件正反面影本。收入證明文件。
可以提前清償信用貸款嗎？,可以，借款人可自行評估是否部分提前∕全額償還信用貸款，部分信用貸款專案更提供免收提前清償違約金優惠。您可撥打本行服務專線(02)2383-1000，或逕洽國泰世華銀行任一分行諮詢，將有專人竭誠為您服務。
我任職好的企業跟有好的收入，申請信貸有機會可以再享利率優惠嗎？,可以，借款人如為專業人士、公務人員、本行客戶、任職具規模優良企業(如：國內外上市櫃公司、學校、醫療機構)，即有機會再享優惠利率。您可撥打本行服務專線(02)2383-1000，或逕洽國泰世華銀行任一分行諮詢，將有專人竭誠為您服務。
申請信貸需要有保證人嗎？,本行是依據借款人信用狀況評估合適的貸款額度及利率訂價，所以不需要提供保證人。
一定要到國泰世華銀行分行據點才能申請信貸嗎？,國泰世華銀行提供您多元申請管道，您可透過下述通路擇一申請：國泰世華銀行各分行服務據點國泰世華銀行線上申請信貸國泰世華銀行服務專線(02)2383-1000亦歡迎您留下聯絡方式，將有專人竭誠為您服務。
只根據利率挑選銀行，您真的挑到最便宜的房貸嗎？,利率的影響比想像中還小，選擇貸款規劃能力強的銀行，對您更有利。一般人挑選銀行時，往往僅比較利率，並選擇最低利率的銀行，但事實上，各間銀行的利率差距並不大，有時僅是0.1%~0.2%的差距，這樣的差距對每月付款金額的影響並沒有您想像中的大。利率、成數(額度)、貸款期數、寬限期、各項費用...等等，皆會影響您的貸款負擔。一間值得信賴的銀行，不會僅以低利率與您溝通，而是依您的需求與現狀，幫您規劃並提供最合適的貸款商品。
購屋時需要負擔哪些費用？,"*購屋相關收費印花稅：(建物核定契價 +土地公告現值總額)×0.1%。契稅：房屋現值的6%。地政登記規費：(建物總現值+申報地價總額)×0.1%。保險費：包含火險及地震險，費用依各保險公司之規定。簽約費：1,000元。房仲業服務費：約成交價的2%，視各房仲業收費訂價為準。*地政士費用明細簽約費：2,000 ~ 4,000元(買、賣雙方各半) 。產權移轉登記：10,000 ~ 15,000元。抵押設定登記：4,000 ~ 5,000元。代申請自用住宅地價稅：1,000元。註：以上資訊為市場常見訊息，僅供參考。"
辦理房貸的程序是什麼?需要準備什麼文件？,申請準備土地與建物登記謄本或所有權狀影本、借款人身分證影本、所得證明(如扣繳憑單、報稅證明、薪資單、薪轉存摺等)、買賣契約書影本等資料後，填寫房屋貸款申請書。估價依房屋座落區域、生活機能、坪數等因素進行不動產估價。審核依客戶條件、信用狀況、還款來源、負債比、不動產估價等因素決定貸款案件准駁與否。對保借款人與保證人與銀行房貸專員簽訂貸款契約，房貸專員會幫借款人辦理開戶手續，該帳戶將作為日後撥款與繳款使用。設定借款人與保證人與銀行房貸專員簽訂貸款契約，房貸專員會幫借款人辦理開戶手續，該帳戶將作為日後撥款與繳款使用。撥款抵押權設定完成後即可撥款並準備交屋。撥款後借款人與銀行的貸款契約開始生效，借款人需每月在應繳日前，將應繳金額存入帳戶中，銀行會自動將貸款本息從借款人帳戶中扣繳。
辦理房貸會有哪些費用？,"帳務管理費、徵信作業手續費、轉貸代償費：依各銀行規定辦理。貸款設定登記規費：按設定金額的千分之一。代書費：市場行情約2,500~6,000元。住宅保險費--火險：每年投保一次，依各保險公司費率計收。住宅保險費--地震險：每年投保一次，依目前費率每年保費1,350元。註：以上資訊為市場常見訊息，僅供參考"
